Law Firm,City,Website,DA Score
,Alameda,www.ropesgray.com,59
,Aliso Viejo,brobertsonlaw.com,31
,Aliso Viejo,www.wshblaw.com,35
,Anaheim,www.anaheim.net,62
,Anaheim,www.jmllaw.com,38
,Bakersfield,www.kerncounty.com,54
,Bakersfield,www.ufwfoundation.org,44
,Baldwin Park,www.readypac.com,48
,Banning,publicdef.co.riverside.ca.us,51
,Berkeley,lflegal.com,51
,Berkeley,profiles.superlawyers.com,60
,Berkeley,dralegal.org,54
,Berkeley,eastbaysanctuary.org,32
,Berkeley,www.oasislegalservices.org,30
,Berkeley,www.sfcityattorney.org,59
,Beverly Hills,harderllp.com,40
,Beverly Hills,www.berenjifamilylaw.com,35
,Beverly Hills,www.ecjlaw.com,31
,Beverly Hills,www.realpagessites.com,46
,Beverly Hills,www.bdjinjurylawyers.com,31
,Beverly Hills,cz.law,33
,Burbank,agmblaw.com,32
,Burbank,fremantle.com,60
,Calabasas,thebloomfirm.com,52
,Calabasas,www.feinbergwaller.com,34
,Capistrano Beach,creativeplanning.com,49
,Carlsbad,www.aldavlaw.com,40
,Carlsbad,f3law.com,36
,Carmichael,www.avvo.com,74
,Cerritos,estatelaw.simplybook.me,62
,Cerritos,www.aalrr.com,34
,Claremont,shernoff.com,33
,Commerce,www.lafla.org,47
,Commerce,commercecasino.com,45
,Concord,www.mcecleanenergy.org,43
,Costa Mesa,www.messner.com,35
,Costa Mesa,www.paulhastings.com,57
,Costa Mesa,www.swlaw.com,49
,Costa Mesa,ohaganmeyer.com,31
,Costa Mesa,lewisbrisbois.com,45
,Costa Mesa,ogletree.com,55
,Costa Mesa,messner.com,35
,Costa Mesa,www.haynesboone.com,57
,Costa Mesa,kenneylegaldefense.us,54
,Costa Mesa,www.rutan.com,33
,Costa Mesa,www.sheppardmullin.com,51
,Culver City,www.losangelesemploymentlawyer.com,35
,Culver City,www.columbiarecords.com,68
,Delano,crla.org,45
,Diamond Bar,www.niagarawater.com,51
,Dublin,www.taylorenglish.com,41
,E Palo Alto,clsepa.org,38
,El Cajon,superiorlawcenter.com,33
,El Centro,da.imperialcounty.org,40
,El Segundo,www.apollo.com,58
,El Segundo,www.gbw.law,36
,El Segundo,www.leechtishman.com,42
,Elk Grove,www.yourcsd.com,46
,Emeryville,www.schneiderwallace.com,32
,Emeryville,www.ginkgobioworks.com,56
,Emeryville,www.unioncounsel.net,32
,Encino,www.kingsleykingsley.com,35
,Encino,www.lewitthackman.com,32
,Encino,www.smartvoter.org,58
,Encino,baronandbudd.com,50
,Encino,actslaw.com,34
,Folsom,g.page,90
,Folsom,www.talend.com,64
,Fremont,evictiondefense.org,37
,Fremont,www.morganlewis.com,61
,Fresno,www.littler.com,63
,Fresno,www.crla.org,45
,Fresno,www.lcwlegal.com,40
,Fresno,bitwiseindustries.com,44
,Fresno,rhdefense.com,33
,Fresno,www.fennemorelaw.com,48
,Fresno,www.bakermanock.com,30
,Fresno,www.statefundca.com,45
,Fresno,www.centralcallegal.org,35
,Fresno,matianfirm.com,31
,Fresno,www.co.fresno.ca.us,59
,Fresno,legalservices.fcoe.org,41
,Fresno,www.mccormickbarstow.com,38
,Glendale,maisonlaw.com,31
,Glendale,www.lewisroca.com,44
,Glendale,www.shouselaw.com,60
,Gold River,www.bpelaw.com,32
,Hermosa Beach,www.thesimonlawgroup.com,32
,Huntington Beach,www.boardriders.com,48
,Irvine,www.rshc-law.com,31
,Irvine,www.boydlawlosangeles.com,56
,Irvine,www.grsm.com,46
,Irvine,www.wellsfargo.com,80
,Irvine,www.jnj.com,77
,Irvine,bc-llp.com,37
,Irvine,www.fisherphillips.com,58
,Irvine,www.brownrudnick.com,54
,Irvine,www.aegislawfirm.com,30
,Irvine,www.cdflaborlaw.com,40
,Irvine,klinedinstlaw.com,38
,Irvine,www.goldinglawyers.com,32
,Irvine,www.buchalter.com,44
,Irvine,oakmontseniorliving.com,36
,Irvine,rgp.com,48
,Irvine,www.womblebonddickinson.com,54
,Irvine,www.klgates.com,60
,Irvine,www.wfbm.com,31
,Irvine,www.jacksonlewis.com,58
,Irvine,www.allenmatkins.com,40
,Irvine,www.gtlaw.com,59
,Irvine,www.ptwww.com,31
,Irvine,www.shb.com,48
,Irvine,www.bbklaw.com,43
,Irvine,www.crowell.com,58
,Irvine,www.klasing-associates.com,42
,Irvine,www.mgmlaw.com,35
,Irvine,www.gibsondunn.com,61
,Irvine,www.troutman.com,58
,Irvine,www.paynefears.com,31
,Irvine,www.jmbm.com,47
,Irvine,www.knobbe.com,44
,Irvine,www.dorsey.com,55
,Irvine,tokarz-lawca.avvosites.com,32
,Irvine,www.goldbergsegalla.com,47
,Irvine,www.procopio.com,45
,Joshua Tree,sbcountyda.org,50
,Klamath,www.yuroktribe.org,50
,La Jolla,www.bonalaw.com,36
,La Jolla,global.lockton.com,54
,La Jolla,events.com,82
,La Jolla,www.tysonmendes.com,36
,Laguna Beach,princelobel.com,39
,Laguna Beach,daveasprey.com,43
,Laguna Beach,www.vlplawgroup.com,35
,Long Beach,www.kyl.com,31
,Long Beach,michellawyers.com,51
,Long Beach,www.toxictorts.com,41
,Long Beach,www.millernash.com,46
,Long Beach,lafla.org,47
,Los Altos,www.calprobate.com,30
,Los Angeles,www.whitecase.com,64
,Los Angeles,www.personalinjurylawyerslosangeles.com,36
,Los Angeles,www.seyfarth.com,57
,Los Angeles,www.kpmg.us,63
,Los Angeles,www.esperanza-la.org,38
,Los Angeles,www.kbklawyers.com,33
,Los Angeles,www.coxcastle.com,40
,Los Angeles,www.winston.com,58
,Los Angeles,www.wilshirelawfirm.com,37
,Los Angeles,www.hoganlovells.com,64
,Los Angeles,www.clarkhill.com,52
,Los Angeles,www.duanemorris.com,57
,Los Angeles,zuberlawler.com,33
,Los Angeles,toplawyer.law,39
,Los Angeles,www.manningllp.com,30
,Los Angeles,www.pszjlaw.com,38
,Los Angeles,www.reedsmith.com,62
,Los Angeles,www.ar.ca,41
,Los Angeles,www.blbglaw.com,49
,Los Angeles,www.weitzlux.com,50
,Los Angeles,www.8minute.com,33
,Los Angeles,www.losangelescriminallawyer.pro,44
,Los Angeles,www.thompsoncoburn.com,52
,Los Angeles,allianceforchildrensrights.org,46
