,Law Firm,City,Website,DA Score_x,DA Score_y
0,,Acampo,www.paigecurry.com,,1
1,,Acampo,www.patriddlelaw.com,,3
2,,Acton,www.qnet.com,,43
3,,Acton,www.roadrunner.com,,60
4,,Acton,www.paytonemploymentlaw.com,,3
5,,Adelanto,www.calcannabizlaw.com,,1
6,,Agoura Hills,www.fsklaw.com,,29
7,,Agoura Hills,www.tracycollins.com,,7
8,,Agoura Hills,www.thebernsteinlawgroup.com,,2
9,,Agoura Hills,www.lawyersba.com,,1
10,,Agoura Hills,www.amoroso-co.com,,1
11,,Agoura Hills,www.lorbk.com,,4
12,,Agoura Hills,www.effres.com,,5
13,,Agoura Hills,www.calpropertiesllc.com,,5
14,,Agoura Hills,www.semlercompanies.com,,1
15,,Agoura Hills,www.halpernlawcorp.com,,3
16,,Agoura Hills,www.tfhudsonlaw.com,,1
17,,Agoura Hills,www.ingberlawyers.com,,16
18,,Agoura Hills,www.humeslaw.org,,1
19,,Agoura Hills,www.kittlelaw.com,,1
20,,Agoura Hills,www.garykurtzlaw.com,,6
21,,Agoura Hills,www.gambardella-law.com,,1
22,,Agoura Hills,www.harrislegal.com,,4
23,,Agoura Hills,www.thecheesecakefactory.com,,66
24,,Agoura Hills,www.leglr.com,,8
25,,Agoura Hills,www.hgcomplaw.com,,8
26,,Agoura Hills,www.southerncaliforniainjuryattorneys.com,,19
27,,Agoura Hills,www.jcruselaw.com,,8
28,,Agoura Hills,www.dodelllaw.net,,5
29,,Agoura Hills,www.aklausnerlaw.com,,1
30,,Agoura Hills,www.albertandmackenzie.com,,4
31,,Agoura Hills,www.jmll.com,,12
32,,Agoura Hills,www.marlinsaltzman.com,,25
33,,Agoura Hills,www.morganleahylaw.com,,8
34,,Agoura Hills,www.nva.com,,34
35,,Agoura Hills,www.perlmutter-law.com,,3
36,,Agoura Hills,www.posellalaw.com,,1
37,,Agoura Hills,www.zimkalaw.com,,2
38,,Agoura Hills,www.erinprutowlaw.com,,7
39,,Agoura Hills,www.qlglaw.com,,11
40,,Agoura Hills,www.wclaw.net,,10
41,,Agoura Hills,www.schmitzandassociates.net,,3
42,,Agoura Hills,www.mltlawyers.com,,1
43,,Agoura Hills,www.ronaldlewislaw.com,,3
44,,Agoura Hills,www.brightview.com,,52
45,,Agoura Hills,www.wl-ins.com,,1
46,,Agoura Hills,www.hem-law.com,,16
47,,Agoura Hills,www.tropelawgroup.com,,1
48,,Agoura Hills,www.tymfirm.com,,2
49,,Agoura Hills,www.tashnizilaw.com,,1
50,,Agoura Hills,www.asgn.com,,40
51,,Agoura Hills,www.shawnroshan.com,,4
52,,Agoura Hills,www.louielaw.com,,16
53,,Agoura Hills,www.friedmanlawoffices.com,,21
54,,Agoura Hills,www.louiscohenlaw.com,,4
55,,Agoura Hills,www.forthebestdefense.com,,3
56,,Agoura Hills,www.dorenfeldlaw.com,,15
57,,Agoura Hills,www.schmitzandassociates.com,,13
58,,Agoura Hills,www.tiffanygmaas.com,,1
