Law Firm,City,Website,DA Score
,Agoura Hills,bpmcpa.com,39
,Agoura Hills,hubinternational.com,57
,Alameda,penumbrainc.com,57
,Alameda,symbium.com,35
,Alameda,gfalzonelaw.com,30
,Alameda,scribetx.com,31
,Alameda,thepeebleslawyer.com,33
,Alameda,ropesgray.com,59
,Alameda,abbott.com,67
,Albany,bayarea-attorney.com,31
,Alhambra,filg.us,55
,Aliso Viejo,lopezmchugh.com,38
,Aliso Viejo,wshblaw.com,35
,Aliso Viejo,brobertsonlaw.com,31
,Aliso Viejo,microvention.com,38
,Alviso,lacework.com,47
,Anaheim,jmllaw.com,38
,Anaheim,fedpractice.com,33
,Anaheim,jsminjuryfirm.com,50
,Anaheim,advancingjustice-la.org,56
,Anaheim,lflm.com,33
,Aptos,braytonlaw.com,38
,Atherton,corp.roblox.com,89
,Auburn,cunninghamlegal.com,31
,Auburn,lsnc.net,37
,Bakersfield,kernmedical.com,32
,Bakersfield,aeraenergy.com,42
,Bakersfield,kleinlaw.com,31
,Bakersfield,gbla.org,34
,Bakersfield,bakersfieldcity.us,53
,Bakersfield,ufwfoundation.org,44
,Baldwin Park,readypac.com,48
,Belmont,ringcentral.com,71
,Berkeley,ebclc.org,49
,Berkeley,canhr.org,53
,Berkeley,netivotshalom.org,36
,Berkeley,achlaw.com,30
,Berkeley,profiles.superlawyers.com,60
,Berkeley,lflegal.com,51
,Berkeley,commonaccord.org,36
,Berkeley,creeclaw.org,38
,Berkeley,eastbaysanctuary.org,32
,Berkeley,robinskaplan.com,41
,Berkeley,sfcityattorney.org,59
,Berkeley,publiclawgroup.com,30
,Berkeley,foodandwaterwatch.org,71
,Berkeley,dralegal.org,54
,Berkeley,dredf.org,58
,Berkeley,oasislegalservices.org,30
,Berkeley,hbsslaw.com,63
,Berkeley,prisonlaw.com,50
,Berkeley,adrservices.com,36
,Beverly Hills,bhba.org,40
,Beverly Hills,harderllp.com,40
,Beverly Hills,cdas.com,32
,Beverly Hills,kornberglawfirm.com,33
,Beverly Hills,dlgimmigration.com,34
,Beverly Hills,kgimmigrationlaw.com,35
,Beverly Hills,troygould.com,35
,Beverly Hills,robinsax.com,33
,Beverly Hills,tarterkrinsky.com,34
,Beverly Hills,linerlaw.com,42
,Beverly Hills,merchantgould.com,43
,Beverly Hills,fisherbroyles.com,46
,Beverly Hills,ecjlaw.com,31
,Beverly Hills,cz.law,33
,Beverly Hills,dogbitelaw.com,55
,Beverly Hills,esfandilawfirm.com,30
,Beverly Hills,czrlaw.com,33
,Beverly Hills,livenation.com,81
,Beverly Hills,bdjinjurylawyers.com,30
,Beverly Hills,realpagessites.com,46
,Beverly Hills,taxlitigator.com,34
,Beverly Hills,laseraway.com,49
,Beverly Hills,mrcentertainment.com,50
,Bishop,calindian.org,37
,Brea,mullenusa.com,46
,Brea,togetherwerise.org,58
,Burbank,thewaltdisneycompany.com,83
,Burbank,socalpersonalinjurylawyer.com,34
,Burbank,gsamusic.com,35
,Burbank,a2zlegal.com,60
,Burbank,waltdisneystudios.com,64
,Burbank,fremantle.com,60
,Burbank,agmblaw.com,32
,Burbank,horvitzlevy.com,37
,Burbank,warnerbros.com,91
,Burbank,calinterpreting.com,49
,Burbank,lucasfilm.com,69
,Burlingame,srsacquiom.com,32
,Burlingame,cpmlegal.com,52
,Burlingame,carr-mcclellan.com,31
,Calabasas,aizmanlaw.com,42
,Calabasas,thebloomfirm.com,52
,Calabasas,xperi.com,47
,Calabasas,daloisiotax.ucoz.com,91
,Calabasas,glo.com,62
,Calabasas,adamlawyer.com,31
,Calabasas,feinbergwaller.com,34
,Calabasas,ah4r.com,50
,Campbell,8x8.com,64
,Campbell,attorneyoffice.com,30
,Capistrano Beach,creativeplanning.com,49
,Carlsbad,aldavlaw.com,40
,Carlsbad,surrogacy-lawyer.com,30
,Carlsbad,meggitt.com,50
,Carlsbad,atecspine.com,41
,Carlsbad,djoglobal.com,56
,Carlsbad,f3law.com,36
,Carlsbad,stanprowse.com,30
,Carlsbad,odgerslawgroup.com,34
,Carlsbad,grandpacificresorts.com,32
