County,Zip Code,Active,Inactive,Judge,Not Eligible,Total
Alameda,94607,695,55,15,16,781
Alameda,94612,2242,126,36,39,2443
Contra Costa,94596,918,107,2,30,1057
Fresno,93721,620,22,20,13,675
Los Angeles,90010,1183,43,0,41,1267
Los Angeles,90012,2868,190,189,53,3300
Los Angeles,90013,1020,44,21,18,1103
Los Angeles,90017,3193,93,2,71,3359
Los Angeles,90024,844,234,0,68,1146
Los Angeles,90025,1290,165,0,78,1533
Los Angeles,90045,547,83,11,24,665
Los Angeles,90064,1012,186,0,57,1255
Los Angeles,90067,5268,171,0,111,5550
Los Angeles,90071,5179,138,1,89,5407
Los Angeles,90210,745,198,1,63,1007
Los Angeles,90211,579,52,0,26,657
Los Angeles,90212,1074,129,0,46,1249
Los Angeles,90245,701,53,1,17,772
Los Angeles,90266,530,193,0,42,765
Los Angeles,90401,830,48,8,29,915
Los Angeles,90802,669,48,24,27,768
Los Angeles,91101,1048,79,10,28,1165
Los Angeles,91203,1049,21,0,10,1080
Los Angeles,91367,1046,87,4,31,1168
Los Angeles,91403,599,92,0,29,720
Los Angeles,91436,1121,187,0,50,1358
Los Angeles,91754,585,46,26,10,667
Orange,92612,1469,66,0,24,1559
Orange,92614,1688,59,0,16,1763
Orange,92618,1110,44,0,11,1165
Orange,92626,1221,73,1,19,1314
Orange,92660,1865,232,3,51,2151
Orange,92701,666,51,41,15,773
Orange,92705,621,97,1,21,740
Orange,92868,510,25,21,12,568
Riverside,92501,679,36,53,13,781
Sacramento,95814,3494,172,82,69,3817
Sacramento,95825,641,83,0,20,744
San Diego,92037,532,248,1,63,844
San Diego,92101,4785,249,48,100,5182
San Diego,92108,906,49,0,18,973
San Diego,92121,935,24,0,11,970
San Diego,92130,1299,153,0,41,1493
San Francisco,94102,1702,366,71,40,2179
San Francisco,94103,1038,106,19,21,1184
San Francisco,94104,2891,134,1,75,3101
San Francisco,94105,3574,174,3,85,3836
San Francisco,94107,572,86,0,52,710
San Francisco,94111,4200,178,4,107,4489
San Mateo,94025,1014,198,1,59,1272
San Mateo,94063,724,41,25,12,802
Santa Barbara,93101,641,65,14,15,735
Santa Clara,94304,1369,34,0,37,1440
Santa Clara,95110,687,30,9,12,738
Santa Clara,95113,911,82,68,22,1083
